Id,SalePrice
1461,125596.91
1462,160392.3
1463,182603.1
1464,188966.86
1465,204042.52
1466,182851.1
1467,180541.61
1468,175298.33
1469,193782.25
1470,130396.89
1471,228369.55
1472,116547.08
1473,101817.21
1474,164538.56
1475,139864.72
1476,354558.84
1477,272157.16
1478,287001.6
1479,310681.5
1480,496399.72
1481,324350.94
1482,216905.98
1483,184824.6
1484,177334.98
1485,181822.25
1486,204163.77
1487,335767.34
1488,262528.97
1489,206188.62
1490,231468.19
1491,201001.12
1492,103866.45
1493,197550.88
1494,317888.0
1495,316586.16
1496,259239.4
1497,199158.36
1498,165677.36
1499,170239.5
1500,168162.83
1501,173702.02
1502,164926.58
1503,300924.28
1504,242853.11
1505,234256.17
1506,199942.42
1507,265301.84
1508,207723.38
1509,166287.47
1510,153916.94
1511,150678.81
1512,171267.33
1513,159351.97
1514,163312.03
1515,203520.44
1516,159115.23
1517,166190.72
1518,140423.83
1519,244089.72
1520,138286.62
1521,142462.81
1522,176931.95
1523,118440.26
1524,123910.01
1525,127359.336
1526,127982.75
1527,118963.93
1528,140238.05
1529,144297.98
1530,172405.55
1531,138495.81
1532,107083.13
1533,144497.16
1534,127511.17
1535,152865.0
1536,119182.484
1537,106824.68
1538,173558.92
1539,217015.48
1540,126629.56
1541,149641.44
1542,149157.47
1543,200189.72
1544,93119.55
1545,116845.85
1546,145289.19
1547,143095.02
1548,136092.34
1549,117928.58
1550,149506.98
1551,137704.33
1552,156200.14
1553,153912.08
1554,124137.24
1555,179133.22
1556,106206.59
1557,121783.805
1558,113066.766
1559,128906.55
1560,150025.62
1561,153706.97
1562,128738.51
1563,126343.734
1564,158667.06
1565,157965.92
1566,243917.58
1567,98485.805
1568,237675.84
1569,151788.38
1570,147118.53
1571,134078.72
1572,135649.86
1573,263995.66
1574,140678.22
1575,238724.23
1576,259129.77
1577,200735.8
1578,153717.72
1579,144524.38
1580,196658.47
1581,142503.89
1582,132003.25
1583,366270.3
1584,243541.69
1585,152824.98
1586,91675.65
1587,106457.55
1588,141947.05
1589,112715.84
1590,141171.25
1591,103942.31
1592,131002.4
1593,132687.66
1594,145229.84
1595,131154.94
1596,227026.6
1597,183488.19
1598,189711.23
1599,192600.95
1600,192275.44
1601,84382.84
1602,129028.67
1603,102399.18
1604,285475.3
1605,285369.75
1606,168138.3
1607,220501.53
1608,237493.38
1609,193004.0
1610,165183.08
1611,147432.3
1612,179727.55
1613,177891.11
1614,130783.77
1615,94867.43
1616,93312.086
1617,97549.26
1618,126772.45
1619,136139.48
1620,198396.77
1621,149242.06
1622,142478.0
1623,290884.06
1624,230468.12
1625,134188.64
1626,173389.22
1627,189454.05
1628,303052.34
1629,183430.64
1630,372409.38
1631,212460.84
1632,250415.28
1633,177357.77
1634,192158.34
1635,181171.8
1636,168380.1
1637,193804.16
1638,206860.53
1639,194443.88
1640,248492.8
1641,190285.38
1642,235192.1
1643,241757.38
1644,240065.16
1645,191206.88
1646,162139.88
1647,169479.02
1648,141556.11
1649,139032.47
1650,130756.78
1651,126771.61
1652,117653.9
1653,119951.336
1654,168628.27
1655,165939.11
1656,162944.6
1657,171234.73
1658,162750.08
1659,146476.28
1660,151630.84
1661,467914.47
1662,372252.25
1663,377377.94
1664,404545.25
1665,304831.22
1666,349505.4
1667,375837.5
1668,329160.06
1669,293236.22
1670,337209.97
1671,278856.0
1672,476997.34
1673,336773.12
1674,274609.75
1675,208158.38
1676,207485.75
1677,229786.83
1678,399140.97
1679,408401.72
1680,309545.53
1681,238145.42
1682,324107.7
1683,204270.22
1684,181300.4
1685,176545.27
1686,181390.88
1687,177189.36
1688,197460.92
1689,199264.9
1690,193234.81
1691,183643.27
1692,274147.03
1693,174505.8
1694,185025.03
1695,173443.05
1696,299587.03
1697,174422.88
1698,385657.06
1699,359773.72
1700,258756.2
1701,273327.53
1702,275619.53
1703,276613.2
1704,313838.94
1705,232163.34
1706,460096.34
1707,216898.52
1708,217934.47
1709,273876.38
1710,234861.44
1711,284566.8
1712,277090.6
1713,302295.5
1714,232074.03
1715,208635.64
1716,193641.02
1717,180161.27
1718,147829.84
1719,207184.25
1720,266347.2
1721,188426.48
1722,131972.56
1723,166624.02
1724,222903.66
1725,235549.95
1726,197734.23
1727,182660.92
1728,191086.98
1729,164978.0
1730,181474.14
1731,130329.0
1732,135867.34
1733,123542.55
1734,133000.12
1735,133601.34
1736,121842.625
1737,371685.3
1738,227804.48
1739,325875.75
1740,233387.19
1741,202939.98
1742,174642.12
1743,180656.69
1744,297602.9
1745,235027.47
1746,228792.56
1747,225811.53
1748,224818.89
1749,159387.61
1750,151215.61
1751,231807.03
1752,122545.51
1753,156394.03
1754,216472.88
1755,171603.16
1756,132637.94
1757,117904.5
1758,154818.69
1759,166933.53
1760,161800.12
1761,158213.62
1762,180062.36
1763,174899.44
1764,122508.73
1765,202800.72
1766,186620.78
1767,240134.16
1768,140695.72
1769,173066.4
1770,150920.8
1771,137391.23
1772,139713.22
1773,143581.44
1774,152907.23
1775,140085.36
1776,125207.01
1777,111608.58
1778,132876.5
1779,122851.8
1780,175955.66
1781,131761.94
1782,103904.8
1783,143325.48
1784,107250.516
1785,119694.33
1786,159843.05
1787,177239.1
1788,83486.984
1789,103411.72
1790,99993.29
1791,216245.98
1792,154596.7
1793,155425.77
1794,149755.69
1795,143116.16
1796,135254.12
1797,143429.45
1798,124902.71
1799,112904.39
1800,125346.65
1801,135564.89
1802,151788.94
1803,163200.23
1804,141935.42
1805,143781.23
1806,131162.5
1807,164776.6
1808,122889.93
1809,123997.125
1810,151221.08
1811,115666.625
1812,110214.98
1813,121696.97
1814,102552.17
1815,82361.266
1816,96247.92
1817,133679.03
1818,156956.5
1819,129572.83
1820,90546.51
1821,129228.77
1822,169303.05
1823,71745.95
1824,144035.3
1825,142072.42
1826,103428.266
1827,115690.23
1828,140935.86
1829,136881.23
1830,153716.75
1831,157052.06
1832,124054.86
1833,158233.3
1834,136665.36
1835,162937.81
1836,138743.6
1837,105819.664
1838,137355.94
1839,104692.35
1840,158479.7
1841,145774.1
1842,102883.06
1843,143920.55
1844,147198.69
1845,151479.1
1846,157307.72
1847,174886.4
1848,82275.72
1849,121632.3
1850,123468.44
1851,158893.02
1852,127074.1
1853,142341.17
1854,178048.98
1855,171941.2
1856,230757.02
1857,172696.62
1858,154912.25
1859,130955.18
1860,160137.86
1861,130611.195
1862,341262.03
1863,340691.3
1864,340691.3
1865,320288.72
1866,317546.12
1867,264908.62
1868,306201.66
1869,225825.31
1870,259596.02
1871,262948.53
1872,174866.1
1873,232374.52
1874,141594.7
1875,215878.88
1876,202008.52
1877,233698.31
1878,221379.7
1879,131891.53
1880,138070.84
1881,275542.9
1882,256542.06
1883,205906.08
1884,218498.22
1885,253675.89
1886,294655.5
1887,229804.08
1888,307400.44
1889,173268.33
1890,134477.86
1891,154786.67
1892,112647.61
1893,132793.17
1894,134352.14
1895,147429.84
1896,129037.84
1897,135256.23
1898,127281.445
1899,156690.4
1900,144803.67
1901,176176.33
1902,146954.25
1903,230292.27
1904,139326.64
1905,199963.17
1906,164741.47
1907,223609.83
1908,135478.22
1909,153388.92
1910,145372.62
1911,208759.61
1912,309248.44
1913,171485.8
1914,79829.164
1915,311531.6
1916,81227.414
1917,277374.66
1918,146707.89
1919,175351.9
1920,180000.84
1921,395653.38
1922,305076.1
1923,218872.23
1924,242277.03
1925,223329.94
1926,381794.94
1927,134481.86
1928,164164.56
1929,123933.35
1930,150471.23
1931,145636.05
1932,148115.53
1933,174725.64
1934,183053.19
1935,176864.1
1936,187832.39
1937,186509.81
1938,179306.23
1939,260420.55
1940,204744.84
1941,181769.95
1942,189401.33
1943,213486.03
1944,338713.28
1945,365893.6
1946,182828.92
1947,290536.22
1948,187314.5
1949,255839.6
1950,185537.4
1951,286839.44
1952,239327.88
1953,174087.89
1954,202282.48
1955,140869.17
1956,326933.88
1957,166911.19
1958,331594.66
1959,157097.83
1960,120561.71
1961,127310.46
1962,120953.16
1963,122645.17
1964,118444.15
1965,162352.27
1966,152541.6
1967,297419.3
1968,451173.34
1969,390444.03
1970,425274.8
1971,358394.22
1972,347774.3
1973,286087.56
1974,331384.38
1975,378548.8
1976,299055.28
1977,388868.47
1978,385472.53
1979,333351.28
1980,206107.52
1981,336432.72
1982,240298.47
1983,222271.56
1984,182240.61
1985,251563.23
1986,261895.97
1987,182779.75
1988,182277.03
1989,199280.58
1990,217933.39
1991,231317.84
1992,214763.75
1993,179734.02
1994,243298.34
1995,192338.05
1996,256695.61
1997,300196.4
1998,360281.1
1999,273508.8
2000,313017.47
2001,284715.4
2002,270281.66
2003,291401.53
2004,295640.9
2005,232408.2
2006,225167.4
2007,269580.3
2008,207505.95
2009,201839.9
2010,201682.17
2011,151993.3
2012,181556.14
2013,181962.22
2014,193944.83
2015,201191.75
2016,201987.56
2017,200748.33
2018,130314.89
2019,134929.95
2020,126286.93
2021,117817.91
2022,188624.66
2023,155536.64
2024,269210.03
2025,348812.6
2026,188093.77
2027,162986.61
2028,181376.89
2029,174302.56
2030,269671.7
2031,227849.6
2032,239117.69
2033,254601.7
2034,177329.2
2035,212762.97
2036,204008.23
2037,209134.67
2038,254719.53
2039,218610.75
2040,341968.56
2041,284707.84
2042,214695.6
2043,169225.17
2044,194642.83
2045,217137.11
2046,152456.16
2047,154741.4
2048,138186.73
2049,149507.83
2050,175837.52
2051,111824.89
2052,140047.86
2053,142112.64
2054,92867.695
2055,155744.58
2056,136164.11
2057,127726.87
2058,220729.78
2059,145033.36
2060,164170.69
2061,180496.9
2062,137832.42
2063,113118.04
2064,142259.6
2065,125656.67
2066,193074.36
2067,148920.38
2068,153776.75
2069,95106.83
2070,106525.01
2071,107798.06
2072,153909.86
2073,143914.52
2074,187425.48
2075,151192.14
2076,122993.7
2077,148367.9
2078,131852.78
2079,142213.8
2080,129083.58
2081,134657.53
2082,143904.38
2083,147792.62
2084,111913.94
2085,131343.55
2086,146215.56
2087,123340.3
2088,113286.59
2089,91620.766
2090,145975.39
2091,125692.81
2092,136772.34
2093,133016.44
2094,145717.58
2095,163981.62
2096,92228.38
2097,100929.58
2098,149611.03
2099,82367.945
2100,121993.67
2101,142326.12
2102,140831.27
2103,103407.95
2104,142242.78
2105,128197.445
2106,96868.44
2107,218753.66
2108,119086.625
2109,118789.32
2110,131533.5
2111,158103.52
2112,141622.14
2113,122082.68
2114,123629.83
2115,162003.02
2116,121980.625
2117,158546.06
2118,134108.89
2119,123548.77
2120,114886.17
2121,114704.82
2122,109995.38
2123,100206.516
2124,181793.19
2125,140006.7
2126,176233.25
2127,165726.61
2128,140742.34
2129,118230.555
2130,152473.86
2131,178523.14
2132,123487.29
2133,133924.28
2134,132774.31
2135,109180.016
2136,96208.59
2137,124555.66
2138,141299.69
2139,157383.17
2140,137004.17
2141,149408.14
2142,132342.17
2143,142315.78
2144,133912.78
2145,133763.86
2146,157191.72
2147,180383.88
2148,144338.67
2149,144307.97
2150,220805.62
2151,130715.39
2152,163789.73
2153,160824.83
2154,113916.98
2155,143170.56
2156,265790.66
2157,260967.38
2158,230286.86
2159,211850.73
2160,182022.48
2161,272450.28
2162,421085.0
2163,343919.34
2164,270752.84
2165,187237.81
2166,145792.94
2167,230606.14
2168,206314.98
2169,196614.23
2170,222340.69
2171,145925.47
2172,145618.92
2173,171221.05
2174,236229.83
2175,304828.9
2176,329472.88
2177,253038.14
2178,223945.05
2179,154459.08
